Fecha,Primero,Último,Mínimo,Máximo,Promedio simple,Promedio ponderado,Promedio ponderado sesión anterior
1 Jul 2021,619.50,619.57,619.05,625.00,619.62,619.51,619.96
2 Jul 2021,620.25,619.70,619.00,620.25,619.51,619.49,619.51
3 Jul 2021,,,,,,,
4 Jul 2021,,,,,,,
5 Jul 2021,618.55,620.20,618.55,620.98,619.87,620.02,619.49
6 Jul 2021,620.49,621.10,620.00,621.40,620.83,620.84,620.02
7 Jul 2021,619.50,621.80,619.50,622.00,621.67,621.81,620.84
8 Jul 2021,621.50,622.52,621.25,623.00,622.45,622.50,621.81
9 Jul 2021,619.51,620.75,619.01,623.25,621.89,621.38,622.50
10 Jul 2021,,,,,,,
11 Jul 2021,,,,,,,
12 Jul 2021,621.95,620.00,619.96,621.95,620.26,620.18,621.38
13 Jul 2021,620.10,619.25,618.01,620.10,619.01,619.10,620.18
14 Jul 2021,618.65,619.15,618.00,619.25,618.77,618.90,619.10
15 Jul 2021,619.10,619.98,618.00,620.25,619.78,619.91,618.90
16 Jul 2021,618.40,619.61,618.00,620.70,619.78,619.76,619.91
17 Jul 2021,,,,,,,
18 Jul 2021,,,,,,,
19 Jul 2021,619.76,619.75,619.50,620.75,619.82,619.75,619.76
20 Jul 2021,619.00,619.76,619.00,620.50,619.62,619.71,619.75
21 Jul 2021,619.60,619.80,619.21,621.00,619.80,619.74,619.71
22 Jul 2021,619.00,620.00,618.56,620.10,619.87,619.95,619.74
23 Jul 2021,620.00,620.75,619.50,621.00,620.35,620.44,619.95
24 Jul 2021,,,,,,,
25 Jul 2021,,,,,,,
26 Jul 2021,0.00,0.00,0.00,0.00,0.00,0.00,620.44
27 Jul 2021,619.45,620.85,619.30,620.95,620.59,620.75,620.44
28 Jul 2021,619.51,621.30,619.50,621.65,621.11,621.09,620.75
29 Jul 2021,621.15,621.85,620.57,622.00,621.71,621.79,621.09
30 Jul 2021,621.50,621.70,620.80,622.50,621.54,621.47,621.79
31 Jul 2021,,,,,,,
1 Ago 2021,,,,,,,
2 Ago 2021,0.00,0.00,0.00,0.00,0.00,0.00,621.47
3 Ago 2021,621.01,621.50,620.15,621.85,621.32,621.49,621.47
4 Ago 2021,621.00,622.00,621.00,622.25,621.93,621.98,621.49
5 Ago 2021,621.00,621.80,620.01,623.00,621.56,621.63,621.98
6 Ago 2021,622.00,622.30,621.00,622.50,621.95,622.12,621.63
7 Ago 2021,,,,,,,
8 Ago 2021,,,,,,,
9 Ago 2021,622.00,622.50,621.50,622.97,622.36,622.48,622.12
10 Ago 2021,622.49,622.95,622.49,623.25,622.78,622.85,622.48
11 Ago 2021,623.00,623.00,621.25,623.70,622.78,622.88,622.85
12 Ago 2021,622.99,621.95,621.40,622.99,621.83,621.74,622.88
13 Ago 2021,621.50,620.65,618.25,621.74,620.29,620.24,621.74
14 Ago 2021,,,,,,,
15 Ago 2021,,,,,,,
16 Ago 2021,619.25,620.85,619.20,621.75,620.34,620.62,620.24
